ISO3,Year,Indicator
AUT,1990,CC.EST
BEL,1990,CC.EST
BGR,1990,CC.EST
CYP,1990,CC.EST
CZE,1990,CC.EST
DEU,1990,CC.EST
DNK,1990,CC.EST
ESP,1990,CC.EST
EST,1990,CC.EST
FIN,1990,CC.EST
FRA,1990,CC.EST
GRC,1990,CC.EST
HRV,1990,CC.EST
HUN,1990,CC.EST
IRL,1990,CC.EST
ITA,1990,CC.EST
LTU,1990,CC.EST
LUX,1990,CC.EST
LVA,1990,CC.EST
MLT,1990,CC.EST
NLD,1990,CC.EST
POL,1990,CC.EST
PRT,1990,CC.EST
ROU,1990,CC.EST
SVK,1990,CC.EST
SVN,1990,CC.EST
SWE,1990,CC.EST
AUT,1991,CC.EST
BEL,1991,CC.EST
BGR,1991,CC.EST
CYP,1991,CC.EST
CZE,1991,CC.EST
DEU,1991,CC.EST
DNK,1991,CC.EST
ESP,1991,CC.EST
EST,1991,CC.EST
FIN,1991,CC.EST
FRA,1991,CC.EST
GRC,1991,CC.EST
HRV,1991,CC.EST
HUN,1991,CC.EST
IRL,1991,CC.EST
ITA,1991,CC.EST
LTU,1991,CC.EST
LUX,1991,CC.EST
LVA,1991,CC.EST
MLT,1991,CC.EST
NLD,1991,CC.EST
POL,1991,CC.EST
PRT,1991,CC.EST
ROU,1991,CC.EST
SVK,1991,CC.EST
SVN,1991,CC.EST
SWE,1991,CC.EST
AUT,1992,CC.EST
BEL,1992,CC.EST
BGR,1992,CC.EST
CYP,1992,CC.EST
CZE,1992,CC.EST
DEU,1992,CC.EST
DNK,1992,CC.EST
ESP,1992,CC.EST
EST,1992,CC.EST
FIN,1992,CC.EST
FRA,1992,CC.EST
GRC,1992,CC.EST
HRV,1992,CC.EST
HUN,1992,CC.EST
IRL,1992,CC.EST
ITA,1992,CC.EST
LTU,1992,CC.EST
LUX,1992,CC.EST
LVA,1992,CC.EST
MLT,1992,CC.EST
NLD,1992,CC.EST
POL,1992,CC.EST
PRT,1992,CC.EST
ROU,1992,CC.EST
SVK,1992,CC.EST
SVN,1992,CC.EST
SWE,1992,CC.EST
AUT,1993,CC.EST
BEL,1993,CC.EST
BGR,1993,CC.EST
CYP,1993,CC.EST
CZE,1993,CC.EST
DEU,1993,CC.EST
DNK,1993,CC.EST
ESP,1993,CC.EST
EST,1993,CC.EST
FIN,1993,CC.EST
FRA,1993,CC.EST
GRC,1993,CC.EST
HRV,1993,CC.EST
HUN,1993,CC.EST
IRL,1993,CC.EST
ITA,1993,CC.EST
LTU,1993,CC.EST
LUX,1993,CC.EST
LVA,1993,CC.EST
MLT,1993,CC.EST
NLD,1993,CC.EST
POL,1993,CC.EST
PRT,1993,CC.EST
ROU,1993,CC.EST
SVK,1993,CC.EST
SVN,1993,CC.EST
SWE,1993,CC.EST
AUT,1994,CC.EST
BEL,1994,CC.EST
BGR,1994,CC.EST
CYP,1994,CC.EST
CZE,1994,CC.EST
DEU,1994,CC.EST
DNK,1994,CC.EST
ESP,1994,CC.EST
EST,1994,CC.EST
FIN,1994,CC.EST
FRA,1994,CC.EST
GRC,1994,CC.EST
HRV,1994,CC.EST
HUN,1994,CC.EST
IRL,1994,CC.EST
ITA,1994,CC.EST
LTU,1994,CC.EST
LUX,1994,CC.EST
LVA,1994,CC.EST
MLT,1994,CC.EST
NLD,1994,CC.EST
POL,1994,CC.EST
PRT,1994,CC.EST
ROU,1994,CC.EST
SVK,1994,CC.EST
SVN,1994,CC.EST
SWE,1994,CC.EST
AUT,1995,CC.EST
BEL,1995,CC.EST
BGR,1995,CC.EST
CYP,1995,CC.EST
CZE,1995,CC.EST
DEU,1995,CC.EST
DNK,1995,CC.EST
ESP,1995,CC.EST
EST,1995,CC.EST
FIN,1995,CC.EST
FRA,1995,CC.EST
GRC,1995,CC.EST
HRV,1995,CC.EST
HUN,1995,CC.EST
IRL,1995,CC.EST
ITA,1995,CC.EST
LTU,1995,CC.EST
LUX,1995,CC.EST
LVA,1995,CC.EST
MLT,1995,CC.EST
NLD,1995,CC.EST
POL,1995,CC.EST
PRT,1995,CC.EST
ROU,1995,CC.EST
SVK,1995,CC.EST
SVN,1995,CC.EST
SWE,1995,CC.EST
MLT,1996,CC.EST
AUT,1997,CC.EST
BEL,1997,CC.EST
BGR,1997,CC.EST
CYP,1997,CC.EST
CZE,1997,CC.EST
DEU,1997,CC.EST
DNK,1997,CC.EST
ESP,1997,CC.EST
EST,1997,CC.EST
FIN,1997,CC.EST
FRA,1997,CC.EST
GRC,1997,CC.EST
HRV,1997,CC.EST
HUN,1997,CC.EST
IRL,1997,CC.EST
ITA,1997,CC.EST
LTU,1997,CC.EST
LUX,1997,CC.EST
LVA,1997,CC.EST
MLT,1997,CC.EST
NLD,1997,CC.EST
POL,1997,CC.EST
PRT,1997,CC.EST
ROU,1997,CC.EST
SVK,1997,CC.EST
SVN,1997,CC.EST
SWE,1997,CC.EST
MLT,1998,CC.EST
AUT,1999,CC.EST
BEL,1999,CC.EST
BGR,1999,CC.EST
CYP,1999,CC.EST
CZE,1999,CC.EST
DEU,1999,CC.EST
DNK,1999,CC.EST
ESP,1999,CC.EST
EST,1999,CC.EST
FIN,1999,CC.EST
FRA,1999,CC.EST
GRC,1999,CC.EST
HRV,1999,CC.EST
HUN,1999,CC.EST
IRL,1999,CC.EST
ITA,1999,CC.EST
LTU,1999,CC.EST
LUX,1999,CC.EST
LVA,1999,CC.EST
MLT,1999,CC.EST
NLD,1999,CC.EST
POL,1999,CC.EST
PRT,1999,CC.EST
ROU,1999,CC.EST
SVK,1999,CC.EST
SVN,1999,CC.EST
SWE,1999,CC.EST
MLT,2000,CC.EST
AUT,2001,CC.EST
BEL,2001,CC.EST
BGR,2001,CC.EST
CYP,2001,CC.EST
CZE,2001,CC.EST
DEU,2001,CC.EST
DNK,2001,CC.EST
ESP,2001,CC.EST
EST,2001,CC.EST
FIN,2001,CC.EST
FRA,2001,CC.EST
GRC,2001,CC.EST
HRV,2001,CC.EST
HUN,2001,CC.EST
IRL,2001,CC.EST
ITA,2001,CC.EST
LTU,2001,CC.EST
LUX,2001,CC.EST
LVA,2001,CC.EST
MLT,2001,CC.EST
NLD,2001,CC.EST
POL,2001,CC.EST
PRT,2001,CC.EST
ROU,2001,CC.EST
SVK,2001,CC.EST
SVN,2001,CC.EST
SWE,2001,CC.EST
MLT,2002,CC.EST
MLT,2003,CC.EST
MLT,2004,CC.EST
MLT,2005,CC.EST
MLT,2006,CC.EST
MLT,2007,CC.EST
MLT,2008,CC.EST
MLT,2009,CC.EST
MLT,2010,CC.EST
MLT,2011,CC.EST
MLT,2012,CC.EST
MLT,2013,CC.EST
MLT,2014,CC.EST
MLT,2015,CC.EST
MLT,2016,CC.EST
MLT,2017,CC.EST
MLT,2018,CC.EST
MLT,2019,CC.EST
MLT,2020,CC.EST
MLT,2021,CC.EST
MLT,2022,CC.EST
AUT,1990,GE.EST
BEL,1990,GE.EST
BGR,1990,GE.EST
CYP,1990,GE.EST
CZE,1990,GE.EST
DEU,1990,GE.EST
DNK,1990,GE.EST
ESP,1990,GE.EST
EST,1990,GE.EST
FIN,1990,GE.EST
FRA,1990,GE.EST
GRC,1990,GE.EST
HRV,1990,GE.EST
HUN,1990,GE.EST
IRL,1990,GE.EST
ITA,1990,GE.EST
LTU,1990,GE.EST
LUX,1990,GE.EST
LVA,1990,GE.EST
MLT,1990,GE.EST
NLD,1990,GE.EST
POL,1990,GE.EST
PRT,1990,GE.EST
ROU,1990,GE.EST
SVK,1990,GE.EST
SVN,1990,GE.EST
SWE,1990,GE.EST
AUT,1991,GE.EST
BEL,1991,GE.EST
BGR,1991,GE.EST
CYP,1991,GE.EST
CZE,1991,GE.EST
DEU,1991,GE.EST
DNK,1991,GE.EST
ESP,1991,GE.EST
EST,1991,GE.EST
FIN,1991,GE.EST
FRA,1991,GE.EST
GRC,1991,GE.EST
HRV,1991,GE.EST
HUN,1991,GE.EST
IRL,1991,GE.EST
ITA,1991,GE.EST
LTU,1991,GE.EST
LUX,1991,GE.EST
LVA,1991,GE.EST
MLT,1991,GE.EST
NLD,1991,GE.EST
POL,1991,GE.EST
PRT,1991,GE.EST
ROU,1991,GE.EST
SVK,1991,GE.EST
SVN,1991,GE.EST
SWE,1991,GE.EST
AUT,1992,GE.EST
BEL,1992,GE.EST
BGR,1992,GE.EST
CYP,1992,GE.EST
CZE,1992,GE.EST
DEU,1992,GE.EST
DNK,1992,GE.EST
ESP,1992,GE.EST
EST,1992,GE.EST
FIN,1992,GE.EST
FRA,1992,GE.EST
GRC,1992,GE.EST
HRV,1992,GE.EST
HUN,1992,GE.EST
IRL,1992,GE.EST
ITA,1992,GE.EST
LTU,1992,GE.EST
LUX,1992,GE.EST
LVA,1992,GE.EST
MLT,1992,GE.EST
NLD,1992,GE.EST
POL,1992,GE.EST
PRT,1992,GE.EST
ROU,1992,GE.EST
SVK,1992,GE.EST
SVN,1992,GE.EST
SWE,1992,GE.EST
AUT,1993,GE.EST
BEL,1993,GE.EST
BGR,1993,GE.EST
CYP,1993,GE.EST
CZE,1993,GE.EST
DEU,1993,GE.EST
DNK,1993,GE.EST
ESP,1993,GE.EST
EST,1993,GE.EST
FIN,1993,GE.EST
FRA,1993,GE.EST
GRC,1993,GE.EST
HRV,1993,GE.EST
HUN,1993,GE.EST
IRL,1993,GE.EST
ITA,1993,GE.EST
LTU,1993,GE.EST
LUX,1993,GE.EST
LVA,1993,GE.EST
MLT,1993,GE.EST
NLD,1993,GE.EST
POL,1993,GE.EST
PRT,1993,GE.EST
ROU,1993,GE.EST
SVK,1993,GE.EST
SVN,1993,GE.EST
SWE,1993,GE.EST
AUT,1994,GE.EST
BEL,1994,GE.EST
BGR,1994,GE.EST
CYP,1994,GE.EST
CZE,1994,GE.EST
DEU,1994,GE.EST
DNK,1994,GE.EST
ESP,1994,GE.EST
EST,1994,GE.EST
FIN,1994,GE.EST
FRA,1994,GE.EST
GRC,1994,GE.EST
HRV,1994,GE.EST
HUN,1994,GE.EST
IRL,1994,GE.EST
ITA,1994,GE.EST
LTU,1994,GE.EST
LUX,1994,GE.EST
LVA,1994,GE.EST
MLT,1994,GE.EST
NLD,1994,GE.EST
POL,1994,GE.EST
PRT,1994,GE.EST
ROU,1994,GE.EST
SVK,1994,GE.EST
SVN,1994,GE.EST
SWE,1994,GE.EST
AUT,1995,GE.EST
BEL,1995,GE.EST
BGR,1995,GE.EST
CYP,1995,GE.EST
CZE,1995,GE.EST
DEU,1995,GE.EST
DNK,1995,GE.EST
ESP,1995,GE.EST
EST,1995,GE.EST
FIN,1995,GE.EST
FRA,1995,GE.EST
GRC,1995,GE.EST
HRV,1995,GE.EST
HUN,1995,GE.EST
IRL,1995,GE.EST
ITA,1995,GE.EST
LTU,1995,GE.EST
LUX,1995,GE.EST
LVA,1995,GE.EST
MLT,1995,GE.EST
NLD,1995,GE.EST
POL,1995,GE.EST
PRT,1995,GE.EST
ROU,1995,GE.EST
SVK,1995,GE.EST
SVN,1995,GE.EST
SWE,1995,GE.EST
MLT,1996,GE.EST
AUT,1997,GE.EST
BEL,1997,GE.EST
BGR,1997,GE.EST
CYP,1997,GE.EST
CZE,1997,GE.EST
DEU,1997,GE.EST
DNK,1997,GE.EST
ESP,1997,GE.EST
EST,1997,GE.EST
FIN,1997,GE.EST
FRA,1997,GE.EST
GRC,1997,GE.EST
HRV,1997,GE.EST
HUN,1997,GE.EST
IRL,1997,GE.EST
ITA,1997,GE.EST
LTU,1997,GE.EST
LUX,1997,GE.EST
LVA,1997,GE.EST
MLT,1997,GE.EST
NLD,1997,GE.EST
POL,1997,GE.EST
PRT,1997,GE.EST
ROU,1997,GE.EST
SVK,1997,GE.EST
SVN,1997,GE.EST
SWE,1997,GE.EST
MLT,1998,GE.EST
AUT,1999,GE.EST
BEL,1999,GE.EST
BGR,1999,GE.EST
CYP,1999,GE.EST
CZE,1999,GE.EST
DEU,1999,GE.EST
DNK,1999,GE.EST
ESP,1999,GE.EST
EST,1999,GE.EST
FIN,1999,GE.EST
FRA,1999,GE.EST
GRC,1999,GE.EST
HRV,1999,GE.EST
HUN,1999,GE.EST
IRL,1999,GE.EST
ITA,1999,GE.EST
LTU,1999,GE.EST
LUX,1999,GE.EST
LVA,1999,GE.EST
MLT,1999,GE.EST
NLD,1999,GE.EST
POL,1999,GE.EST
PRT,1999,GE.EST
ROU,1999,GE.EST
SVK,1999,GE.EST
SVN,1999,GE.EST
SWE,1999,GE.EST
MLT,2000,GE.EST
AUT,2001,GE.EST
BEL,2001,GE.EST
BGR,2001,GE.EST
CYP,2001,GE.EST
CZE,2001,GE.EST
DEU,2001,GE.EST
DNK,2001,GE.EST
ESP,2001,GE.EST
EST,2001,GE.EST
FIN,2001,GE.EST
FRA,2001,GE.EST
GRC,2001,GE.EST
HRV,2001,GE.EST
HUN,2001,GE.EST
IRL,2001,GE.EST
ITA,2001,GE.EST
LTU,2001,GE.EST
LUX,2001,GE.EST
LVA,2001,GE.EST
MLT,2001,GE.EST
NLD,2001,GE.EST
POL,2001,GE.EST
PRT,2001,GE.EST
ROU,2001,GE.EST
SVK,2001,GE.EST
SVN,2001,GE.EST
SWE,2001,GE.EST
MLT,2002,GE.EST
MLT,2003,GE.EST
MLT,2004,GE.EST
MLT,2005,GE.EST
MLT,2006,GE.EST
MLT,2007,GE.EST
MLT,2008,GE.EST
MLT,2009,GE.EST
MLT,2010,GE.EST
MLT,2011,GE.EST
MLT,2012,GE.EST
MLT,2013,GE.EST
MLT,2014,GE.EST
MLT,2015,GE.EST
MLT,2016,GE.EST
MLT,2017,GE.EST
MLT,2018,GE.EST
MLT,2019,GE.EST
MLT,2020,GE.EST
MLT,2021,GE.EST
MLT,2022,GE.EST
AUT,1990,RL.EST
BEL,1990,RL.EST
BGR,1990,RL.EST
CYP,1990,RL.EST
CZE,1990,RL.EST
DEU,1990,RL.EST
DNK,1990,RL.EST
ESP,1990,RL.EST
EST,1990,RL.EST
FIN,1990,RL.EST
FRA,1990,RL.EST
GRC,1990,RL.EST
HRV,1990,RL.EST
HUN,1990,RL.EST
IRL,1990,RL.EST
ITA,1990,RL.EST
LTU,1990,RL.EST
LUX,1990,RL.EST
LVA,1990,RL.EST
MLT,1990,RL.EST
NLD,1990,RL.EST
POL,1990,RL.EST
PRT,1990,RL.EST
ROU,1990,RL.EST
SVK,1990,RL.EST
SVN,1990,RL.EST
SWE,1990,RL.EST
AUT,1991,RL.EST
BEL,1991,RL.EST
BGR,1991,RL.EST
CYP,1991,RL.EST
CZE,1991,RL.EST
DEU,1991,RL.EST
DNK,1991,RL.EST
ESP,1991,RL.EST
EST,1991,RL.EST
FIN,1991,RL.EST
FRA,1991,RL.EST
GRC,1991,RL.EST
HRV,1991,RL.EST
HUN,1991,RL.EST
IRL,1991,RL.EST
ITA,1991,RL.EST
LTU,1991,RL.EST
LUX,1991,RL.EST
LVA,1991,RL.EST
MLT,1991,RL.EST
NLD,1991,RL.EST
POL,1991,RL.EST
PRT,1991,RL.EST
ROU,1991,RL.EST
SVK,1991,RL.EST
SVN,1991,RL.EST
SWE,1991,RL.EST
AUT,1992,RL.EST
BEL,1992,RL.EST
BGR,1992,RL.EST
CYP,1992,RL.EST
CZE,1992,RL.EST
DEU,1992,RL.EST
DNK,1992,RL.EST
ESP,1992,RL.EST
EST,1992,RL.EST
FIN,1992,RL.EST
FRA,1992,RL.EST
GRC,1992,RL.EST
HRV,1992,RL.EST
HUN,1992,RL.EST
IRL,1992,RL.EST
ITA,1992,RL.EST
LTU,1992,RL.EST
LUX,1992,RL.EST
LVA,1992,RL.EST
MLT,1992,RL.EST
NLD,1992,RL.EST
POL,1992,RL.EST
PRT,1992,RL.EST
ROU,1992,RL.EST
SVK,1992,RL.EST
SVN,1992,RL.EST
SWE,1992,RL.EST
AUT,1993,RL.EST
BEL,1993,RL.EST
BGR,1993,RL.EST
CYP,1993,RL.EST
CZE,1993,RL.EST
DEU,1993,RL.EST
DNK,1993,RL.EST
ESP,1993,RL.EST
EST,1993,RL.EST
FIN,1993,RL.EST
FRA,1993,RL.EST
GRC,1993,RL.EST
HRV,1993,RL.EST
HUN,1993,RL.EST
IRL,1993,RL.EST
ITA,1993,RL.EST
LTU,1993,RL.EST
LUX,1993,RL.EST
LVA,1993,RL.EST
MLT,1993,RL.EST
NLD,1993,RL.EST
POL,1993,RL.EST
PRT,1993,RL.EST
ROU,1993,RL.EST
SVK,1993,RL.EST
SVN,1993,RL.EST
SWE,1993,RL.EST
AUT,1994,RL.EST
BEL,1994,RL.EST
BGR,1994,RL.EST
CYP,1994,RL.EST
CZE,1994,RL.EST
DEU,1994,RL.EST
DNK,1994,RL.EST
ESP,1994,RL.EST
EST,1994,RL.EST
FIN,1994,RL.EST
FRA,1994,RL.EST
GRC,1994,RL.EST
HRV,1994,RL.EST
HUN,1994,RL.EST
IRL,1994,RL.EST
ITA,1994,RL.EST
LTU,1994,RL.EST
LUX,1994,RL.EST
LVA,1994,RL.EST
MLT,1994,RL.EST
NLD,1994,RL.EST
POL,1994,RL.EST
PRT,1994,RL.EST
ROU,1994,RL.EST
